,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,moonphase,conditions,stations,elevation,continent,season,treecover2000,loss,gain,soil_texture_0,soil_texture_10,soil_texture_30,soil_texture_60,soil_texture_100,soil_texture_200,population_density_2000,population_density_2005,population_density_2010,population_density_2015,population_density_2020
128,2007-07-01 00:00:00,"Cam Pha Town, Quang Ninh Province",140-257mm of rain; also landslides in Ha Long City’s Hong Gai and Bai Chay,"Cam Pha Town, Quang Ninh Province",5km,landslide,rain,medium,unknown,3.0,0.0,Vietnam,Quảng Ninh,135477,Cẩm Phả Mines,1.03388,107.293,21.0233,27.7,24.9,26.2,33.1,24.9,27.5,25.7,96.82,23.6,37.5,50.95586533403471,7.2,176.5636135644968,1002.0,98.8,9.3,0.51,"Rain, Overcast",['48826099999'],250.0,Asia,summer,0,0.0,0,SaClLo,ClLo,ClLo,ClLo,ClLo,ClLo,424.01708984375,452.4898376464844,479.26947021484375,507.7560119628906,530.2240600585938
249,2007-10-05 00:00:00,Thanh Hoa,"flooding and landslides affected entire province, 67 died in total in two provinces",Thanh Hoa,unknown,complex,tropical_cyclone,large,unknown,0.0,0.0,Vietnam,Thanh Hóa,0,Thị Trấn Ngọc Lặc,6.03262,105.35,20.04,27.9,24.4,25.7,33.4,24.4,27.5,24.9,95.39,134.6,37.5,50.95586533403471,28.8,176.5636135644968,1007.1,100.0,15.5,0.86,"Rain, Overcast",['48840099999'],164.0,Asia,autumn,55,0.0,0,ClLo,ClLo,ClLo,Cl,ClLo,ClLo,271.9801025390625,269.27227783203125,264.60113525390625,260.073486328125,251.95877075195312
248,2007-10-05 00:00:00,"Nghe An's Que Phong, Son La","multiple areas in North and Central Vietnam hit by Typhoon, extensive flooding and landslides, especially along road cuts","Nghe An's Que Phong, Son La",25km,landslide,tropical_cyclone,large,unknown,0.0,0.0,Vietnam,Sơn La,19054,Sơn La,2.18698,103.9,21.3167,24.1,21.4,22.3,24.1,21.4,22.3,21.4,94.73,64.0,37.5,50.95586533403471,7.2,176.5636135644968,1009.1,90.0,12.3,0.86,"Rain, Partially cloudy",['48806099999'],716.0,Asia,autumn,0,0.0,0,ClLo,ClLo,Cl,Cl,Cl,Cl,244.02345275878903,269.44415283203125,295.2918701171875,323.6969299316406,349.7475280761719
260,2007-10-15 00:00:00,Quang Nam Province,"27 landslides in 6 mountainous districts, affecting the road",Quang Nam Province,unknown,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Nam,0,Doug An,18.76169,107.9408,15.6045,26.1,24.1,24.7,26.1,24.1,24.7,23.6,93.74,35.3,13.04,50.95586533403471,32.4,176.5636135644968,1013.5,90.9,6.5,0.08,"Rain, Overcast",['48855099999'],29.0,Asia,autumn,99,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,66.29684448242188,67.44048309326172,68.0916748046875,68.76567840576172,68.45079040527344
283,2007-10-30 00:00:00,Quang Nam,blocked roads in mountainous areas,Quang Nam,50km,landslide,tropical_cyclone,medium,unknown,3.0,0.0,Vietnam,Quảng Nam,0,Doug An,15.95575,107.966,15.5946,28.1,23.1,25.4,32.8,23.1,25.7,23.6,89.74,70.4,16.67,50.95586533403471,39.6,176.5636135644968,1009.0,93.3,5.3,0.63,"Rain, Overcast",['48855099999'],129.0,Asia,autumn,87,0.0,0,ClLo,ClLo,ClLo,Cl,Cl,Cl,66.2968521118164,67.44049072265625,68.09168243408203,68.76567840576172,68.45079040527344
296,2007-11-05 00:00:00,National Highway 24 and Quang Ngai Province,,National Highway 24 and Quang Ngai Province,25km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Ngãi,0,Trà Bồng,4.19484,108.4852,15.234,24.2,22.2,23.1,24.2,22.2,23.1,20.7,86.47,0.0,0.0,50.95586533403471,7.2,176.5636135644968,1013.7,100.0,15.0,0.92,Overcast,['48863099999'],641.0,Asia,autumn,97,1.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,70.51805877685547,71.28179168701172,71.51586151123047,71.76793670654297,70.98843383789062
299,2007-11-09 00:00:00,"Nam Tra My District, Quang Nam Province","major flooding and landslides throughout provinces, ","Nam Tra My District, Quang Nam Province",10km,landslide,rain,medium,unknown,12.0,0.0,Vietnam,Quảng Nam,0,Trà My,0.82096,108.2167,15.3333,27.1,21.1,23.8,29.3,21.1,23.9,19.7,78.89,0.8,4.35,50.95586533403471,20.5,176.5636135644968,1011.3,93.3,7.0,1.0,"Rain, Overcast","['48855099999', '48863099999']",126.0,Asia,autumn,52,1.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,44.53559494018555,45.3038444519043,45.74129104614258,46.19405364990234,45.98252868652344
355,2008-01-04 00:00:00,"Kim Bang district, Ha Namh province",heavy rains caused rocks/earth to slide,"Kim Bang district, Ha Namh province",25km,landslide,rain,medium,unknown,3.0,0.0,Vietnam,Hà Nam,31801,Thành Phố Phủ Lý,2.68849,105.9,20.5667,22.1,8.1,15.1,22.1,6.8,15.0,8.8,69.77,0.0,0.0,50.95586533403471,10.3,146.4,1019.6,0.4,6.5,0.93,Clear,"['48820099999', '48823099999']",9.0,Asia,winter,0,0.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,765.4536743164062,760.8478393554688,750.6236572265625,740.7147827148438,720.4583129882812
393,2008-02-20 00:00:00,Quang Ngai,caused traffic jams,Quang Ngai,unknown,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Ngãi,0,Minh Long,6.65669,108.701,14.9923,21.9,19.2,20.6,21.9,19.2,20.6,17.5,82.89,0.0,0.0,50.95586533403471,10.8,346.7,1019.8,97.5,12.5,0.5,Overcast,['48863099999'],114.0,Asia,winter,78,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,71.38594818115234,72.1590805053711,72.39603424072266,72.65120697021484,71.86211395263672
488,2008-06-07 00:00:00,"Nha Be District, Ho Chi Minh City","covered 1,000sq.m in Nha Be District, damaged 11 houses worth VND370 million (US$21,764), several days of rain","Nha Be District, Ho Chi Minh City",25km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Long An,152200,Cần Duộc,12.54307,106.7361,10.7069,32.1,25.1,27.2,39.3,25.1,29.3,24.6,86.73,2.0,4.17,50.95586533403471,18.4,150.7,1008.4,60.4,8.0,0.09,"Rain, Partially cloudy",['48900099999'],5.0,Asia,spring,10,0.0,0,ClLo,ClLo,ClLo,ClLo,Cl,ClLo,4264.78955078125,5085.7509765625,6019.46728515625,7126.32080078125,8315.755859375
569,2008-07-26 00:00:00,"Chung Chai village, Xin Man district, Ha Giang Province; Lao Cai Province","washed away houses and roads, 19 houses collapsed. Also problems in Lao Cai","Chung Chai village, Xin Man district, Ha Giang Province; Lao Cai Province",25km,landslide,downpour,medium,unknown,1.0,0.0,Vietnam,Hà Giang,0,Thị Trấn Vinh Quang,20.52282,104.48,22.75,30.1,24.2,26.0,35.6,24.2,27.3,24.4,91.3,15.0,25.0,50.95586533403471,0.0,176.5636135644968,1005.6,86.3,9.0,0.8,"Rain, Partially cloudy",['48803099999'],1601.0,Asia,summer,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,85.99725341796875,94.27587127685548,102.57984161376952,111.64205932617188,119.76302337646484
589,2008-08-07 00:00:00,Lao Cai,"floods have cut off some districts in Lao Cai and triggered widespread landslides, but flash floods have caused the largest number of deaths",Lao Cai,50km,complex,tropical_cyclone,medium,unknown,37.0,0.0,Vietnam,Lào Cai,0,Thị Trấn Phố Lu,13.40609,104.07,22.2666,28.9,26.7,27.7,35.4,26.7,31.6,24.9,84.81,1.0,12.5,50.95586533403471,14.4,360.0,996.4,92.5,8.3,0.19,"Rain, Overcast",['48803099999'],1684.0,Asia,summer,41,0.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,117.46939086914062,119.41700744628906,120.49060821533205,121.60306549072266,120.96644592285156
628,2008-08-27 00:00:00,"Hoang Su Phi district, Ha Giang province","huge rainstorms and flash floods, 14 houses damaged; The strong and prolonged rains caused flooding and landslides in three districts of the province","Hoang Su Phi district, Ha Giang province",10km,landslide,downpour,medium,unknown,3.0,0.0,Vietnam,Hà Giang,0,Thị Trấn Vinh Quang,1.66522,104.6667,22.75,30.4,25.4,27.8,36.6,25.4,31.6,24.7,83.97,3.9,33.33,50.95586533403471,0.0,176.5636135644968,1006.5,95.0,9.3,0.94,"Rain, Overcast",['48803099999'],535.0,Asia,summer,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,80.81417846679688,88.59384155273438,96.3973388671875,104.9133758544922,112.5448760986328
674,2008-09-25 00:00:00,Meo Vac District in Ha Giang Province,caused $65 million in damages and killed 41 people from floods and landsliding; 8 mountain provinces affected,Meo Vac District in Ha Giang Province,10km,complex,tropical_cyclone,medium,unknown,0.0,0.0,Vietnam,Hà Giang,0,Thị Trấn Mèo Vạc,0.75035,105.4167,23.1667,22.1,21.2,21.6,22.1,21.2,21.6,20.6,94.07,89.8,71.43,50.95586533403471,10.8,144.3,999.2,100.0,7.6,0.92,"Rain, Overcast",['59209099999'],1202.0,Asia,autumn,62,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,105.03423309326172,115.1454620361328,125.28767395019533,136.35595703125,146.27462768554688
675,2008-09-25 00:00:00,Son La,Lao Cai Province and Son La are taking the brunt of the storm and up to 300mm of rain is expected. More than 230 excavators have been organized to handle landslides,Son La,unknown,complex,tropical_cyclone,medium,unknown,13.0,0.0,Vietnam,Sơn La,19054,Sơn La,11.87542,104.0,21.25,24.2,20.9,22.6,24.2,20.9,22.7,21.7,94.57,198.1,33.33,50.95586533403471,7.2,245.0,1001.1,100.0,10.3,0.92,"Rain, Overcast",['48806099999'],664.0,Asia,autumn,74,1.0,0,ClLo,ClLo,ClLo,Cl,Cl,Cl,107.56102752685548,118.76599884033205,130.15919494628906,142.6796112060547,154.16224670410156
673,2008-09-25 00:00:00,"Quang Ninh, Lang Son, Bac Giang, Vinh Phuc, Lao Cai provinces","The National Steering Committee for Storm and Flood Control has asked the leaders of Son La, Lai Chau, Dien Bien and Hoa Binh provinces to evacuate people from land near rivers or areas at high-risk of landslides","Quang Ninh, Lang Son, Bac Giang, Vinh Phuc, Lao Cai provinces",unknown,complex,tropical_cyclone,medium,unknown,41.0,0.0,Vietnam,Bắc Giang,0,Chũ,10.05593,106.623,21.3,25.8,23.5,24.3,25.8,23.5,24.3,23.9,97.63,98.45,62.5,50.95586533403471,17.4,167.9,999.0,100.0,7.1,0.92,"Rain, Overcast","['48830099999', '48826099999']",157.0,Asia,autumn,0,1.0,1,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,197.57241821289065,201.52462768554688,204.0212860107422,206.59849548339844,206.2091217041016
690,2008-10-11 00:00:00,"Nam Tra My District, Quang Nam",heavy rains and flooding from Tropical Depression from East Sea,"Nam Tra My District, Quang Nam",25km,landslide,downpour,medium,unknown,1.0,0.0,Vietnam,Quảng Nam,0,Trà My,1.14911,108.2167,15.33,27.9,24.1,25.8,31.3,24.1,26.9,24.0,90.5,48.5,17.39,50.95586533403471,29.5,203.2,1012.2,91.6,7.0,0.43,"Rain, Overcast","['48855099999', '48863099999']",142.0,Asia,autumn,51,1.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,44.53559494018555,45.30384826660156,45.74129104614258,46.19405746459961,45.98252868652344
692,2008-10-12 00:00:00,"Tam Lanh village/Thanh Gia Hill, Quang Nam",Six gold miners were buried alive in a landslide that engulfed a makeshift goldmine camp in the central province of Quang Nam,"Tam Lanh village/Thanh Gia Hill, Quang Nam",unknown,landslide,downpour,medium,above_river,6.0,0.0,Vietnam,Quảng Nam,0,Thạnh Mỹ,7.31023,107.88,15.8,25.4,23.1,24.2,25.4,23.1,24.3,23.7,96.72,106.63,19.05,50.95586533403471,24.1,289.3,1009.2,93.5,6.0,0.47,"Rain, Overcast","['48855099999', '48852099999']",101.0,Asia,autumn,0,1.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,259.59814453125,264.0763244628906,266.6261901855469,269.2653503417969,268.0323486328125
700,2008-10-16 00:00:00,"Hai Van Pass, Hoa Hiep Bac Ward, Lien Chieu district","A landslide on October 16 damaged the petrol depot on Hai Van Pass (Hoa Hiep Bac ward, Lien Chieu district), which resulted in a big volume of oil and petrol spilling into the sea","Hai Van Pass, Hoa Hiep Bac Ward, Lien Chieu district",10km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Đà Nẵng,0,Li n Chiểu,14.33902,108.133,16.2,27.1,24.1,25.4,30.8,24.1,26.2,24.1,92.4,99.34,17.39,50.95586533403471,27.7,203.9,1010.3,89.6,6.0,0.52,"Rain, Partially cloudy","['48855099999', '48852099999']",407.0,Asia,autumn,87,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,219.35943603515625,223.7154693603516,226.45465087890625,229.2824249267578,228.81759643554688
702,2008-10-17 00:00:00,Thua Thien-Hue to Quang Tri,"Flood-triggered landslides and whirlwinds have also forced local schools to shut down, At least five people have been reported dead, hundreds of houses have lost their roofs, traffic to many areas have been cut off, and thousands of households faced heavy risks as the floods were expected to continue their rampage in the coming days",Thua Thien-Hue to Quang Tri,50km,landslide,downpour,medium,unknown,0.0,0.0,Vietnam,Thừa Thi n-Huế,0,Phong Điền,14.55771,107.2327,16.5489,26.9,24.4,25.1,30.6,24.4,25.7,24.5,96.76,136.1,50.0,50.95586533403471,10.8,158.6,1009.8,100.0,8.0,0.55,"Rain, Overcast",['48852099999'],79.0,Asia,autumn,87,0.0,0,ClLo,ClLo,ClLo,ClLo,Cl,ClLo,92.9467315673828,94.79247283935548,95.95311737060548,97.15129852294922,96.95433807373048
711,2008-10-26 00:00:00,"Tay Tra district, Quang Ngai province, Hue City, Hai Van Tunnel ","AT LEAST five people have been killed in floods triggered by heavy rains in central Vietnam. Dozens of homes have had their roofs blown off, hundreds of hectares of crops are damaged, and landslides have cut roads to two Quang Ngai mountain districts","Tay Tra district, Quang Ngai province, Hue City, Hai Van Tunnel ",50km,landslide,downpour,medium,unknown,0.0,0.0,Vietnam,Quảng Ngãi,0,Bình Sơn,8.1788,108.69,15.3239,28.2,24.7,26.4,32.9,24.7,28.7,24.8,91.1,0.0,0.0,50.95586533403471,7.2,297.5,1013.6,95.0,12.5,0.97,Overcast,['48863099999'],29.0,Asia,autumn,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,376.9602966308594,381.0428466796875,382.2941284179688,383.6416015625,379.4747314453125
719,2008-10-30 00:00:00,Ha Tinh province,Worst-hit central Ha Tinh province - where muddy waters inundated dozens of homes and hundreds of hectares of rice and other crops - reported seven deaths,Ha Tinh province,50km,complex,downpour,medium,unknown,6.0,0.0,Vietnam,Hà Tĩnh,0,Hương Kh ,8.25204,105.686,18.25,26.1,24.6,25.3,26.1,24.6,25.4,24.7,96.31,160.8,50.0,50.95586533403471,14.4,224.2,1009.7,96.4,8.2,0.01,"Rain, Overcast","['48845099999', '48846099999']",13.0,Asia,autumn,0,0.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,82.92732238769531,81.52194213867188,79.54208374023438,77.62894439697266,74.67572784423828
731,2008-11-12 00:00:00,"Luu Hoa Thanh hamlet, Dam Doi District, Ca Mau Province ","A massive landslide in Luu Hoa Thanh hamlet in Ca Mau Province’s Dam Doi District on Wednesday caused 21 houses to slide into the river and severely damaged 22 other houses nearby. The incident left 138 residents homeless, with other houses at risk of collapsing. Local border guards and rescue forces rushed locals by motorboat to safe ground, and offered victims medical and food supply","Luu Hoa Thanh hamlet, Dam Doi District, Ca Mau Province ",25km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Bạc Li u,0,Thị Trấn Gành Hào,28.92635,105.2523,8.8313,27.6,27.6,27.6,31.0,31.0,31.0,23.9,80.29,0.0,0.0,50.95586533403471,3.6,90.0,1009.1,90.0,20.0,0.5,Partially cloudy,['48914099999'],-1.0,Asia,autumn,12,0.0,0,ClLo,ClLo,ClLo,Cl,Cl,ClLo,177.58604431152344,184.3921661376953,190.0297698974609,195.8867950439453,199.0296173095703
934,2009-09-03 00:00:00,Doc Kien in Da Nang Province,A 700m stretch in Doc Kien in Da Nang is under hundreds of thousands of cubic meters of soil and stones that slid down the slopes in this mountainous region following heavy rains.,Doc Kien in Da Nang Province,25km,complex,downpour,medium,unknown,0.0,0.0,Vietnam,Đà Nẵng,0,Li n Chiểu,5.91929,108.1089,16.0971,26.1,23.1,24.1,26.1,23.1,24.1,22.9,93.35,256.0,29.17,50.95586533403471,25.9,260.4,1005.1,90.1,4.4,0.49,"Rain, Overcast","['48855099999', '48852099999']",4.0,Asia,summer,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,151.07568359375,171.92523193359375,194.1914825439453,219.3941650390625,244.3143768310547
984,2009-09-29 00:00:00,"Kon Tum, Tu Mo Rong District","Part of road is completely covered by tons and tons of soil and debris. On the way from Kon Tum town to Tu Mo Rong district, destroyed forest debris washed down the river, blocking nearly a mile along Yaly ford. More landslides are expected and villages are being evacuated.","Kon Tum, Tu Mo Rong District",10km,mudslide,tropical_cyclone,medium,unknown,0.0,0.0,Vietnam,Kon Tum,0,Đắk Hà,6.66943,107.8594,14.5189,19.4,19.2,19.3,19.4,19.2,19.3,19.0,98.45,0.0,0.0,50.95586533403471,36.0,250.0,995.3,100.0,7.0,0.4,Overcast,['48866099999'],580.0,Asia,autumn,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,51.754337310791016,60.53509140014648,70.2770004272461,81.60626220703125,93.40343475341795
985,2009-09-29 00:00:00,"Kon Tum province, Central Highlands and on provincial roads 672 and 678","As the storm moved inland towards Laos, nine people died in Kon Tum province in the Central Highlands, including a family of five whose house was buried in a mudslide, disaster official Nguyen Van Vy said.","Kon Tum province, Central Highlands and on provincial roads 672 and 678",10km,mudslide,tropical_cyclone,small,unknown,13.0,0.0,Vietnam,Kon Tum,0,Đắk Hà,6.76786,107.8584,14.5179,19.4,19.2,19.3,19.4,19.2,19.3,19.0,98.45,0.0,0.0,50.95586533403471,36.0,250.0,995.3,100.0,7.0,0.4,Overcast,['48866099999'],562.0,Asia,autumn,0,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,51.754337310791016,60.53509140014648,70.2770004272461,81.60626220703125,93.40343475341795
986,2009-09-29 00:00:00,Quang Nam province,"The bodies of two people were recovered from their homes after being buried by a landslide, bringing the toll in Quang Nam province to seven, said Nguyen Hoai Phuong, a provincial disaster official. Parts of the province were still isolated by flood waters and its main highway remained partially submerged.",Quang Nam province,50km,landslide,tropical_cyclone,medium,unknown,7.0,0.0,Vietnam,Quảng Nam,0,Thạnh Mỹ,16.85684,107.8584,15.598,27.1,25.1,25.8,30.2,25.1,26.5,23.7,88.95,237.7,25.0,50.95586533403471,77.8,158.8,1010.1829510981676,93.8,3.5,0.4,"Rain, Overcast",['48855099999'],157.0,Asia,autumn,87,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,20.974214553833008,21.336027145385746,21.54204559326172,21.75527572631836,21.655656814575195
1044,2009-10-23 00:00:00,"Thua Thien – Hue Province’s A Luoi District,","Torrential rains brought by a tropical low forming in the East Sea last Friday have caused floods and landslides, leaving one missing in the central provinces over the past two days.  Thousands of cubic meters of soil and rocks have collapsed from part of Ho Chi Minh Highway, which runs from the north to the south, in Thua Thien – Hue Province’s A Luoi District, causing traffic snarls, according to the provincial storm and flood control committee.","Thua Thien – Hue Province’s A Luoi District,",10km,landslide,downpour,medium,unknown,0.0,0.0,Vietnam,Thừa Thi n-Huế,0,Phú Vang,11.42218,107.7424,16.3395,27.6,23.1,25.1,31.5,23.1,25.6,23.1,88.83,149.8,25.0,50.95586533403471,24.1,149.9,1010.5,89.1,7.5,0.13,"Rain, Partially cloudy","['48855099999', '48852099999']",7.0,Asia,autumn,0,0.0,0,Lo,ClLo,ClLo,ClLo,ClLo,ClLo,219.35940551757807,223.71543884277344,226.45462036132807,229.2824249267578,228.81756591796875
1056,2009-11-05 00:00:00,"Bac Tra My District, Quang Nam Province","Rescue workers have found the bodies of 12 of the 13 people killed in a landslide last week in the central province of Quang Nam. The landslide, which was triggered off in Bac Tra My District on November 5 by Typhoon Mirinae, also left one person badly injured. Rescue workers had earlier discovered the bodies of three victims belonging to the province and eight others from Thanh Hoa Province, aged mostly between 15 and 29. The landslide engulfed 14 people who were living in two huts at the foot of a mountain. Four of them were killed, including a married couple Do Phung Quang - Truong Thi Anh, Truong Van Dung and Vo Minh Vuong had lived there for five years and ran a breeding farm. In an area of hundred square meters and the mass of soil and rock, digging with such basic equipment to find victims has proved to be very difficult. ","Bac Tra My District, Quang Nam Province",5km,landslide,tropical_cyclone,large,unknown,13.0,0.0,Vietnam,Quảng Nam,59000,Tam Kỳ,0.76222,108.4671,15.5721,25.5,24.1,24.5,25.5,24.1,24.5,22.4,88.19,25.9,13.04,50.95586533403471,20.5,33.7,1015.5,90.2,5.4,0.54,"Rain, Overcast","['48855099999', '48863099999']",14.0,Asia,autumn,0,0.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,1234.4390869140625,1255.7335205078125,1267.858642578125,1280.408447265625,1274.545166015625
1203,2010-01-23 05:00:00,"Ve village(?) of Van Chan District, Yen Bai province","Also on Saturday, thousands of cubic meters of soil from the dumping ground of the Nam Toc Hydropower Plant in the northern province of Yen Bai buried four houses in Ve village of Van Chan District at around 5a.m., killing 3-year-old Lo Thi Hiep. All the assets of the four families including their harvested rice, four buffalos and a motorbike were also buried. Four other houses were also damaged and the owners had to evacuate. Soil and rock from road and ditch construction for the Nam Toc power plant, invested in by Thanh Binh Ltd., were discharged at a site above Ve village. Rains on Friday night caused landslides from the dump.","Ve village(?) of Van Chan District, Yen Bai province",50km,landslide,rain,medium,unknown,1.0,0.0,Vietnam,Y n Bái,0,Sơn Thịnh,7.63828,104.5916,21.4936,19.2,15.7,17.3,19.2,15.7,17.4,15.0,86.43,10.9,14.29,50.95586533403471,14.4,138.3,1018.6,98.6,17.1,0.25,"Rain, Overcast",['48806099999'],1453.0,Asia,winter,85,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,33.80673599243164,35.2900390625,36.56340026855469,37.89180755615234,38.70553970336914
